time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.100,0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2500,0.000,WAITING,0,0.00
0.200,-0.00283,-0.00126,-0.00110,0.0935,0.0750,0.00279,0.0270,0.0013,3.2487,9.472,FEASIBLE,0,0.00
0.300,-0.01306,0.00076,-0.00138,0.0255,0.2250,-0.00664,0.0084,0.0008,3.2492,9.433,FEASIBLE,0,0.00
0.400,0.00154,-0.00008,-0.00141,0.2242,0.3750,0.00941,0.0086,0.0001,3.2499,10.013,FEASIBLE,0,0.00
0.500,0.01690,-0.00074,0.00045,0.1424,0.5250,0.01191,0.0058,0.0007,3.2493,9.277,FEASIBLE,0,0.00
0.600,0.04231,-0.00050,0.00067,0.3123,0.6750,0.00244,0.0136,0.0005,3.2495,9.503,FEASIBLE,0,0.00
0.700,0.08405,-0.00043,0.00072,0.4899,0.8250,0.00088,0.0272,0.0004,3.2496,9.474,FEASIBLE,0,0.00
0.800,0.14626,-0.00092,-0.00001,0.7100,0.9750,-0.03674,0.0133,0.0009,3.2491,9.637,FEASIBLE,0,0.00
0.900,0.25126,-0.00148,-0.00079,0.9770,1.2000,-0.00068,0.0006,0.0015,3.2485,9.577,FEASIBLE,0,0.50
1.000,0.33792,-0.00319,-0.00303,1.1360,1.2750,-0.00604,0.0186,0.0032,3.2468,9.595,FEASIBLE,0,0.50
1.100,0.47627,-0.00485,-0.00117,1.0065,1.5000,-0.00794,0.0107,0.0049,3.2451,9.269,FEASIBLE,0,0.50
1.200,0.57435,-0.00500,-0.00015,1.0191,1.5750,0.00368,0.0012,0.0050,3.2450,9.647,FEASIBLE,0,0.50
1.300,0.66151,-0.00366,0.00014,1.1495,1.7250,0.03925,0.0119,0.0037,3.2463,9.447,FEASIBLE,0,0.50
1.402,0.83110,-0.00387,-0.00100,1.6591,1.8750,-0.01558,0.0114,0.0039,3.2461,9.537,FEASIBLE,0,1.00
1.500,0.97957,-0.00402,-0.00082,1.9176,2.0250,-0.00422,0.0127,0.0040,3.2460,9.436,FEASIBLE,0,1.00
1.600,1.17988,-0.00295,0.00101,2.0663,2.1750,-0.01713,0.0073,0.0029,3.2471,9.366,FEASIBLE,0,1.00
1.700,1.44451,-0.00351,0.00041,2.3041,2.3250,0.01118,0.0056,0.0035,3.2465,9.311,FEASIBLE,0,1.50
1.800,1.63579,-0.00647,-0.00292,2.4389,2.4750,0.00173,0.0013,0.0065,3.2435,10.210,FEASIBLE,0,1.50
1.900,1.88626,-0.01147,-0.00765,2.5150,2.6250,0.01551,0.0119,0.0115,3.2385,9.747,FEASIBLE,0,2.00
2.000,2.14306,-0.01432,-0.00810,2.6110,2.7750,0.02886,0.0047,0.0143,3.2357,9.520,FEASIBLE,0,2.00
2.100,2.41585,-0.01275,-0.00260,2.8190,2.9250,0.01098,0.0082,0.0127,3.2373,9.265,FEASIBLE,0,2.50
2.200,2.77225,-0.00807,0.00333,3.0767,3.0750,-0.00721,0.0035,0.0081,3.2419,9.684,FEASIBLE,0,3.00
2.300,3.02337,-0.00665,0.00330,3.1712,3.2250,0.00285,0.0021,0.0066,3.2434,9.860,FEASIBLE,0,3.00
2.400,3.34507,-0.00688,0.00098,3.2461,3.3750,-0.01669,0.0200,0.0069,3.2431,9.394,FEASIBLE,0,3.50
2.500,3.67744,-0.00748,-0.00078,3.3960,3.5250,-0.00868,0.0028,0.0075,3.2425,9.396,FEASIBLE,0,3.50
2.600,4.02783,-0.00876,-0.00337,3.5786,3.6750,0.00675,0.0185,0.0088,3.2412,9.266,FEASIBLE,0,4.00
2.700,4.47214,-0.01007,-0.00430,3.7882,3.8250,0.01600,0.0003,0.0101,3.2399,9.657,FEASIBLE,0,4.50
2.800,4.78085,-0.00770,-0.00091,3.8937,3.9750,0.00696,0.0119,0.0077,3.2423,9.516,FEASIBLE,0,5.00
2.900,5.25640,-0.00152,0.00561,4.0194,4.1250,0.00648,0.0063,0.0015,3.2485,9.401,FEASIBLE,0,5.50
3.000,5.58398,0.00117,0.00692,4.1486,4.2750,-0.01195,0.0027,0.0012,3.2488,9.654,FEASIBLE,0,5.50
3.100,6.01050,0.00104,0.00470,4.3480,4.4250,-0.02016,0.0057,0.0010,3.2490,9.369,FEASIBLE,0,6.00
3.200,6.45647,-0.00460,-0.00242,4.5365,4.5750,0.00928,0.0131,0.0046,3.2454,9.850,FEASIBLE,0,6.50
3.300,6.91677,-0.01471,-0.01061,4.6582,4.7250,0.00473,0.0119,0.0147,3.2353,9.493,FEASIBLE,0,7.00
3.400,7.38233,-0.02335,-0.01489,4.6782,4.8750,0.02765,0.0249,0.0234,3.2266,9.512,FEASIBLE,0,7.50
3.500,7.85758,-0.02747,-0.00969,4.8058,5.0000,0.03791,0.0267,0.0275,3.2225,9.654,FEASIBLE,0,8.00
3.600,8.35103,-0.01979,0.00290,4.9594,5.0000,0.02620,0.0196,0.0198,3.2302,9.667,FEASIBLE,0,8.50
3.700,8.85095,-0.00468,0.01692,5.0252,5.0000,-0.00876,0.0002,0.0047,3.2453,9.741,FEASIBLE,0,9.00
3.800,9.34756,0.01137,0.02382,4.9464,5.0000,-0.02847,0.0139,0.0114,3.2386,9.569,FEASIBLE,0,9.50
