time_s,x,y,yaw_rad,speed_mps,command_speed_mps,steering_rad,tracking_error_m,center_error_m,minimum_clearance_m,planning_ms,planner_status,collision_count,progress_percent
0.102,0.00000,-0.00000,-0.00000,0.0000,0.0000,0.00000,inf,0.0000,3.2250,0.000,WAITING,0,0.00
0.200,-0.00214,-0.00009,0.00009,0.0802,0.0000,0.00000,inf,0.0001,3.2249,0.000,WAITING,0,0.00
0.300,-0.00311,0.00021,0.00013,0.0068,0.0000,0.00000,inf,0.0002,3.2248,0.000,WAITING,0,0.00
0.400,-0.00307,0.00021,0.00013,0.0004,0.0000,0.00000,inf,0.0002,3.2248,0.000,WAITING,0,0.00
0.500,-0.00304,0.00021,0.00013,0.0004,0.0000,0.00000,inf,0.0002,3.2248,0.000,WAITING,0,0.00
0.600,-0.00300,0.00021,0.00013,0.0004,0.0000,0.00000,inf,0.0002,3.2248,0.000,WAITING,0,0.00
0.700,-0.00297,0.00021,0.00013,0.0004,0.0000,0.00000,inf,0.0002,3.2248,0.000,WAITING,0,0.00
0.800,-0.00293,0.00021,0.00013,0.0004,0.0000,0.00000,inf,0.0002,3.2248,0.000,WAITING,0,0.00
0.900,-0.00289,0.00021,0.00013,0.0004,0.0000,0.00000,inf,0.0002,3.2248,0.000,WAITING,0,0.00
1.000,-0.00285,0.00021,0.00013,0.0004,0.0000,0.00000,inf,0.0002,3.2248,0.000,WAITING,0,0.00
1.100,-0.00282,0.00021,0.00013,0.0004,0.0000,0.00000,inf,0.0002,3.2248,0.000,WAITING,0,0.00
1.202,-0.00277,0.00021,0.00013,0.0004,0.0000,0.00000,0.0307,0.0002,3.2248,34.282,FEASIBLE,0,0.00
1.300,-0.00287,0.00035,0.00039,0.0091,1.2188,0.01396,0.0270,0.0003,3.2247,34.177,FEASIBLE,0,0.00
1.414,-0.00457,0.00293,0.00451,0.0305,1.0452,0.02793,0.0137,0.0029,3.2221,34.938,FEASIBLE,0,0.00
1.500,0.00894,0.00443,0.00656,0.1739,1.0299,0.04189,0.0151,0.0044,3.2206,37.089,FEASIBLE,0,0.00
1.600,0.02968,0.00598,0.00857,0.3140,1.0053,0.04189,0.0188,0.0060,3.2190,33.824,FEASIBLE,0,0.00
1.700,0.07329,0.00848,0.01153,0.5245,1.0575,0.04189,0.0375,0.0085,3.2165,35.495,FEASIBLE,0,0.00
1.800,0.14008,0.01071,0.01354,0.7589,1.0170,0.02793,0.0149,0.0107,3.2143,36.031,FEASIBLE,0,0.00
1.900,0.23101,0.01417,0.01655,0.9979,0.9276,0.02793,0.0198,0.0142,3.2108,36.353,FEASIBLE,0,0.00
2.000,0.34296,0.01764,0.01867,1.1854,0.8751,0.02793,0.0525,0.0176,3.2074,38.743,FEASIBLE,0,0.50
2.100,0.45929,0.02561,0.01753,0.9948,1.1054,0.02793,0.0151,0.0256,3.1994,36.778,FEASIBLE,0,0.50
2.200,0.55022,0.03480,0.02365,0.9341,1.2002,0.04189,0.0202,0.0348,3.1902,34.794,FEASIBLE,0,0.50
2.300,0.65518,0.03550,0.02756,1.1581,1.1260,0.02793,0.0285,0.0355,3.1895,33.771,FEASIBLE,0,0.50
2.400,0.78026,0.03600,0.03084,1.2204,1.0258,0.02793,0.0369,0.0360,3.1890,33.943,FEASIBLE,0,1.00
2.500,0.88705,0.03917,0.03221,0.9579,0.9150,0.04189,0.0490,0.0392,3.1858,36.654,FEASIBLE,0,1.00
2.600,0.97142,0.04382,0.03266,0.7819,1.1623,0.04189,0.0305,0.0438,3.1812,33.513,FEASIBLE,0,1.00
2.700,1.04100,0.04954,0.03587,0.6458,1.2272,0.04189,0.0059,0.0495,3.1755,32.981,FEASIBLE,0,1.00
2.800,1.10000,0.05556,0.03947,0.5667,1.1712,0.03538,0.0131,0.0556,3.1694,32.705,FEASIBLE,0,1.00
2.900,1.15702,0.06007,0.04248,0.5699,1.1344,0.02386,0.0242,0.0601,3.1649,33.465,FEASIBLE,0,1.00
3.000,1.21699,0.06425,0.04482,0.6263,1.0130,0.02386,0.0101,0.0642,3.1608,33.153,FEASIBLE,0,1.00
3.100,1.28604,0.06852,0.04668,0.7396,0.9790,0.02386,0.0276,0.0685,3.1565,33.665,FEASIBLE,0,1.50
3.200,1.36976,0.07303,0.04787,0.9162,0.9092,0.02386,0.0154,0.0730,3.1520,34.087,FEASIBLE,0,1.50
3.300,1.47398,0.07899,0.04968,1.1159,1.1961,0.02386,0.0171,0.0790,3.1460,33.250,FEASIBLE,0,1.50
3.400,1.59373,0.08608,0.05179,1.2627,1.3572,0.02386,0.0270,0.0861,3.1389,32.692,FEASIBLE,0,1.50
3.500,1.73225,0.09309,0.05238,1.4677,1.2070,0.00989,0.0036,0.0931,3.1319,33.243,FEASIBLE,0,1.50
3.600,1.88609,0.10197,0.05420,1.5739,1.0568,0.00989,0.0131,0.1020,3.1230,33.221,FEASIBLE,0,2.00
3.700,2.04573,0.11093,0.05544,1.6105,1.3433,0.00989,0.0257,0.1109,3.1141,32.721,FEASIBLE,0,2.00
3.800,2.20540,0.11949,0.05585,1.5769,1.4404,-0.00407,0.0253,0.1195,3.1055,32.633,FEASIBLE,0,2.00
3.900,2.35517,0.12811,0.05684,1.4355,1.2596,-0.00407,0.0086,0.1281,3.0969,33.168,FEASIBLE,0,2.50
